author,publised_at,updated_at,like_count,text,Sentiment
@Behzinga,2024-05-05T17:33:12Z,2024-05-05T17:33:12Z,41448,That’ll be the last time I get in a vehicle with KSI,0
@keshavsharma7g,2024-05-07T16:19:23Z,2024-05-07T16:19:23Z,0,It feels like JJ was traumatized after milking a cow,-1
@only1_okami,2024-05-07T16:19:06Z,2024-05-07T16:19:06Z,0,"Love the vibes in this one, one of my favorite roadtrip videos. Big up Ethan 🎉",1
@blaze7043,2024-05-07T16:14:19Z,2024-05-07T16:14:19Z,0,‎,0
@louiseseery3314,2024-05-07T16:14:10Z,2024-05-07T16:14:10Z,0,I feel bad for vik he never gets good team. 😢,1
@ashith3315,2024-05-07T16:11:18Z,2024-05-07T16:11:18Z,0,JJ shldve been in the bad team..his whiny arse wld be cryin all the way which wld be hella funny to watch.,-1
@Cowboy_VRFR,2024-05-07T16:10:42Z,2024-05-07T16:10:42Z,0,Never pull up on Toby💀💀💀,0
@admarz8540,2024-05-07T16:10:40Z,2024-05-07T16:10:40Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3182"">53:02</a> this guy is so cute setting in passenger seat",1
@Lew699,2024-05-07T16:10:08Z,2024-05-07T16:10:08Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3735"">1:02:15</a> tobi needs his eyes bleached!",0
@hemanshthakur2234,2024-05-07T16:10:01Z,2024-05-07T16:10:01Z,0,"Ethan has heart of gold, Dude stuck with the bad team all along <br>Every other planner would have had fun with good team",1
@Tyevk,2024-05-07T16:09:56Z,2024-05-07T16:09:56Z,0,inbetweeners vibes,0
@Juniort1104,2024-05-07T16:09:01Z,2024-05-07T16:09:16Z,0,"one team milked a cow and the other a vikstar 😂 <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5755"">1:35:55</a>",-1
@kolbybounleuth3946,2024-05-07T16:08:31Z,2024-05-07T16:08:31Z,0,Fatneek is back,0
@cuttyflam2783,2024-05-07T16:08:22Z,2024-05-07T16:08:22Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3735"">1:02:15</a> I expect JJ would relate to that lol",1
@bigshad8765,2024-05-07T16:05:40Z,2024-05-07T16:05:40Z,0,"I genuinely love Ethan so much, ya know!!",1
@Stacie.Barbie,2024-05-07T16:04:03Z,2024-05-07T16:04:03Z,43,I’m only 30 minutes in but I actually really appreciate Ethan. His biggest complaint when he’s on the bad team is that the host is never anywhere to be found and he’s been with the bad team a good bit. Props to you Behz.,-1
@Stacie.Barbie,2024-05-07T16:04:01Z,2024-05-07T16:04:01Z,33,Ethan fracking nailed that. The magic words that explain everything. Old school Top Gear vibes. Bravo dude.,1
@Amanda-kb8wt,2024-05-07T16:01:02Z,2024-05-07T16:03:45Z,1,"Ethan is the sweetest though🥹 it was a great video, great content and storyline",1
@harounedits,2024-05-07T15:56:44Z,2024-05-07T15:56:44Z,0,"Stopped watching at <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=3480"">58:00</a>",0
@joshjones7471,2024-05-07T15:54:31Z,2024-05-07T15:54:31Z,1,Sidemen at wookey hole🤣been many times 🤣🤣,1
@kesavarapusatwikpaul,2024-05-07T15:53:49Z,2024-05-07T15:53:49Z,0,"can we take a moment to appreciate ethan , bro held his  asthma so as to not make the boys worry and enjoy themselves with their  adventure <br>and even filming for the vid in  the hospital",1
@random_sid4407,2024-05-07T15:53:40Z,2024-05-07T15:54:59Z,0,"I could watch that drawer in the back at <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=4957"">1:22:37</a> all day",0
@avidamoa7013,2024-05-07T15:52:42Z,2024-05-07T15:52:42Z,0,Love this vid !,1
@wargend21,2024-05-07T15:50:13Z,2024-05-07T15:50:13Z,0,Ksi moral are so low not surprised,-1
@robertrichard7363,2024-05-07T15:47:24Z,2024-05-07T15:47:24Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2033"">33:53</a> love this moment 😂",1
@sciebelmedia8696,2024-05-07T15:46:55Z,2024-05-07T15:46:55Z,0,KSI not knowing how to get gas was so funny,1
@Rax_,2024-05-07T15:41:06Z,2024-05-07T15:41:06Z,1,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=5572"">1:32:52</a> Bro had to clarify that",0
@jody4389,2024-05-07T15:40:17Z,2024-05-07T15:40:17Z,0,"hope you feeling much better ethan , that was a great watch",1
@Speedsta123,2024-05-07T15:35:30Z,2024-05-07T15:35:30Z,1,Can&#39;t believe Ehan auto inserted himself in the bad team 😭😭,-1
@ImCipp,2024-05-07T15:32:16Z,2024-05-07T15:32:16Z,1,"ain&#39;t this the same video from Beta Squad that just came out? probably a coincidence, great work BTW",1
@payten5821,2024-05-07T15:32:05Z,2024-05-07T15:32:05Z,0,Genuinely interested - how are they getting away with filming themselves breaking the law by not having seatbelts on in moving vehicles?,1
@datboypeezy_,2024-05-07T15:31:55Z,2024-05-07T15:31:55Z,0,That water has body ody 🤣🤣🤣🤣🤣🤣,0
@DogInTheChat,2024-05-07T15:28:28Z,2024-05-07T15:32:01Z,0,"harry: &quot;well he fcking took  us to milk a cow and he died, fantastic&quot;<br>ksi: <b>laughing</b><br>tobi: (no i aint laughing, this sh*t is serious. i am worried)<br>harry again: &quot;good shift mate&quot;<br>tobi: * <b>laughs</b> * for fcks sake<br><br>meanwhile harry yelling through window: &quot;ASMA W*NKER&quot;<br>my guy trying to cheer up everyone&#39;s mood here",-1
@jaseinight6386,2024-05-07T15:27:19Z,2024-05-07T15:27:19Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2827"">47:07</a> non stop pop is crazy 😂",-1
@harigyawali5535,2024-05-07T15:26:55Z,2024-05-07T15:26:55Z,0,why harry is sitting infront of darts,0
@icba9292,2024-05-07T15:23:53Z,2024-05-07T15:23:53Z,0,"No wonder KSI crashed his lambo, f*ck me hes a terrible driver",-1
@SJ-ki1eq,2024-05-07T15:22:21Z,2024-05-07T15:22:21Z,0,JJ&#39;s driving had me dead,-1
@itsOBJT,2024-05-07T15:20:50Z,2024-05-07T15:20:50Z,0,rip n dip stickers all over the golden shag wagon is exactly what thought it would have,1
@elvinahlstrom9474,2024-05-07T15:19:45Z,2024-05-07T15:19:45Z,0,It&#39;s just like the GTA races,0
@Man-Vs-Car,2024-05-07T15:19:15Z,2024-05-07T15:19:15Z,0,I&#39;m doing at how ethan still went through it in one of these videos and he was the host.,0
@DogInTheChat,2024-05-07T15:16:31Z,2024-05-07T15:16:31Z,1,"I swear JJ isnt okay, like he is talking so nonsense in this whole video bruv 💀",1
@harshajitdas991,2024-05-07T15:08:53Z,2024-05-07T15:08:53Z,0,Great video ethan hoping for your good health and keep making these kind of videos man i really enjoyed this one♥🔥,1
@djbick9515,2024-05-07T15:08:24Z,2024-05-07T15:08:24Z,0,NGL man pissing yourself at someone having an asthma attack aint it,0
@hlongzshark6527,2024-05-07T15:05:20Z,2024-05-07T15:05:20Z,1,Ethan putting in so much effort and putting himself on the line where as vik so cab to be there he might as well leave the sidemen wasted spot atm,0
@pratyushprajapati1654,2024-05-07T15:00:50Z,2024-05-07T15:00:50Z,0,Thoroughly enjoyed the watch!,1
@fifareece,2024-05-07T14:59:35Z,2024-05-07T14:59:35Z,0,I’ve been to that dinosaur and cave place its near cheddar,1
@Blake-iv3ud,2024-05-07T14:59:07Z,2024-05-07T14:59:07Z,0,Can I join the sidemen,0
@Hshshsksb,2024-05-07T14:57:07Z,2024-05-07T14:57:07Z,0,dead video or dead challenges or just dead <br>ethan stick to being loud,-1
@Hshshsksb,2024-05-07T14:56:18Z,2024-05-07T14:56:18Z,0,dead,-1
@kingsrky3931,2024-05-07T14:50:00Z,2024-05-07T14:50:00Z,0,Confirmed sidemen park in the disabled bay without a badge,1
@I_Scorched_You,2024-05-07T14:48:30Z,2024-05-07T14:48:30Z,1,My sack is bone dry. Like the Sahara desert,-1
@I_Scorched_You,2024-05-07T14:47:28Z,2024-05-07T14:47:28Z,1,My 🏀🏈 are drained,0
@lloydonix,2024-05-07T14:47:00Z,2024-05-07T14:47:00Z,0,jesus christ this concept again?,0
@I_Scorched_You,2024-05-07T14:46:53Z,2024-05-07T14:46:53Z,1,My 🥜 s are so drained RN it&#39;s crazy,-1
@I_Scorched_You,2024-05-07T14:46:04Z,2024-05-07T14:46:04Z,1,Bruh i just drained my meat to the bone. Dry as a whistle down there,-1
@AfroMxgic,2024-05-07T14:45:52Z,2024-05-07T14:45:52Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=4805"">1:20:05</a> JJ Tries to kill them when Ethan is already dyeing. 🙃",-1
@pookiedookie321,2024-05-07T14:45:38Z,2024-05-07T14:45:38Z,0,"Whats the song name at <a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=4295"">1:11:35</a>?",0
@LilWongton03,2024-05-07T14:44:45Z,2024-05-07T14:44:45Z,0,"<a href=""https://www.youtube.com/watch?v=JeInwySxuxA&amp;t=2810"">46:50</a> vik entered full racing mode",1
@suveva,2024-05-07T14:43:21Z,2024-05-07T14:43:21Z,0,I really liked this format with the voice over👌🏼,1
@JRCElectrical,2024-05-07T14:37:54Z,2024-05-07T14:37:54Z,0,"That was class, banger of a video glad Ethan’s ok 👏",1
@babongiwenxele6443,2024-05-07T14:36:40Z,2024-05-07T14:36:40Z,0,"I&#39;m glad Ethan is ok we cant afford to lost a sideman <a href=""UCkszU2WH9gy1mb0dV-11UJg/NvgfY9aeC_OFvOMPkrOAsAM""></a>",1
@YKloens,2024-05-07T14:36:36Z,2024-05-07T14:36:36Z,1,"Ethan: ( struggling for breath )<br><br>Harry: &quot;Well if it chears you up, we just milked a cow&quot;<br><br><br>Sad for Ethan but Harry out of left field just broke me.",-1
